Second year:   Sem 2
161250232154.66757
147784423551.74008
68538002065.178185
73495754920.25574
92489358019.28076
13507422597.119045
68538002065.178185
123890476625.18034
91442072713.48358
170227319358.87222
93547614023.90686
154382965160.74612
85383019653.93582
123890476625.18034
35418444587.83369
123890476625.18034
147784423551.74008
151050709757.14
5548913653.789557
101271452705.11366
121166719959.3461
130946932537.61853
147784423551.74008
147784423551.74008
71807838322.39981
61673278631.77376
64642530262.657845
58137425426.684166
52236828442.72784
123890476625.18034
159507686662.32507
141445027294.10504
161250232154.66757
97892442750.65372
161250232154.66757
117183755669.11472
139899576477.06073
123890476625.18034
76095823575.56276
163010189953.31683
114595430394.48013
97892442750.65372
77875698351.93675
129506881545.66399
129506881545.66399
68538002065.178185
58137425426.684166
56775815793.21427
65405011387.581764
31677724906.232437
117183755669.11472
92489358019.28076
58137425426.684166
73495754920.25574
97892442750.65372
144582918873.1952
67742132106.35886
108351927905.65596
110810962706.01744
88365012001.57887
139899576477.06073
37667267600.10963
45771221333.117325
73495754920.25574
